Chart Recorder Data File Wed, Nov 24, 2021 1:47 PM
CH1 (V)  	CH2 (V)  
0.437226562	-0.035644531
0.468457031	-0.034667969
0.484072266	-0.034667969
0.499687500	-0.037597656
0.546533203	-0.037109375
0.562148437	-0.038574219
0.593378906	-0.037597656
0.624609375	-0.038574219
0.655839844	-0.037109375
0.671455078	-0.038085937
0.702685547	-0.037109375
0.733916016	-0.037597656
0.749531250	-0.035156250
0.780761719	-0.035156250
0.811992188	-0.033691406
0.843222656	-0.032714844
0.858837891	-0.035156250
0.890068359	-0.035644531
0.936914062	-0.034667969
0.952529297	-0.035644531
0.983759766	-0.037597656
0.999375000	-0.038574219
1.030605469	-0.037109375
1.061835937	-0.037597656
1.077451172	-0.037109375
1.108681641	-0.037109375
1.139912109	-0.036621094
1.171142578	-0.038574219
1.186757813	-0.037109375
1.217988281	-0.035644531
1.233603516	-0.034179687
1.264833984	-0.034667969
1.296064453	-0.034667969
1.327294922	-0.036621094
1.358525391	-0.036132812
1.374140625	-0.036132812
1.405371094	-0.035644531
1.420986328	-0.035644531
1.452216797	-0.036132812
1.483447266	-0.038574219
1.514677734	-0.039062500
1.545908203	-0.039062500
1.561523437	-0.038574219
1.592753906	-0.038574219
1.623984375	-0.037597656
1.639599609	-0.036621094
1.670830078	-0.035156250
1.702060547	-0.035644531
1.733291016	-0.034179687
1.764521484	-0.034179687
1.795751953	-0.035156250
1.811367187	-0.036132812
1.826982422	-0.037109375
1.873828125	-0.038574219
1.889443359	-0.038574219
1.920673828	-0.040039062
1.936289062	-0.039550781
1.967519531	-0.039550781
1.998750000	-0.039062500
2.029980469	-0.038574219
2.045595703	-0.037597656
2.076826172	-0.036621094
2.108056641	-0.036132812
2.123671875	-0.036132812
2.154902344	-0.035644531
2.186132812	-0.036132812
2.201748047	-0.036132812
2.232978516	-0.036132812
2.264208984	-0.036132812
2.295439453	-0.036132812
2.311054687	-0.036132812
2.357900391	-0.036132812
2.373515625	-0.036132812
2.389130859	-0.036132812
2.420361328	-0.035644531
2.451591797	-0.035644531
2.482822266	-0.035644531
2.498437500	-0.032714844
2.529667969	-0.028808594
2.560898438	-0.027832031
2.592128906	-0.027832031
2.623359375	-0.029296875
2.654589844	-0.030761719
2.670205078	-0.031738281
2.685820312	-0.033203125
2.717050781	-0.033691406
2.748281250	-0.034179687
2.779511719	-0.035156250
2.810742187	-0.035156250
2.826357422	-0.035644531
2.857587891	-0.035644531
2.888818359	-0.035644531
2.920048828	-0.036132812
2.935664062	-0.036132812
2.966894531	-0.036621094
2.982509766	-0.036621094
3.013740234	-0.035644531
3.044970703	-0.036621094
3.060585937	-0.036621094
3.091816406	-0.036132812
3.123046875	-0.036132812
3.154277344	-0.035156250
3.169892578	-0.035156250
3.216738281	-0.035156250
3.232353516	-0.035156250
3.263583984	-0.035156250
3.279199219	-0.035644531
3.310429688	-0.035156250
3.326044922	-0.035644531
3.372890625	-0.034667969
3.404121094	-0.034667969
3.419736328	-0.034179687
3.450966797	-0.034667969
3.466582031	-0.033691406
3.497812500	-0.034667969
3.529042969	-0.034179687
3.544658203	-0.034667969
3.575888672	-0.033691406
3.607119141	-0.033691406
3.638349609	-0.032714844
3.669580078	-0.033203125
3.700810547	-0.032226562
3.716425781	-0.032714844
3.747656250	-0.031738281
3.763271484	-0.032226562
3.794501953	-0.031738281
3.825732422	-0.032226562
3.841347656	-0.030761719
3.872578125	-0.031250000
3.903808594	-0.029785156
3.919423828	-0.030273437
3.950654297	-0.029296875
3.966269531	-0.030273437
3.981884766	-0.029296875
4.013115234	-0.029785156
4.044345703	-0.028808594
4.059960937	-0.029785156
4.091191406	-0.028320312
4.122421875	-0.028808594
4.153652344	-0.027832031
4.169267578	-0.028320312
4.200498047	-0.026855469
4.216113281	-0.027343750
4.262958984	-0.026367187
4.278574219	-0.026855469
4.309804687	-0.025390625
4.325419922	-0.026367187
4.356650391	-0.025390625
4.387880859	-0.025878906
4.419111328	-0.024414062
4.434726562	-0.024902344
4.465957031	-0.023925781
4.497187500	-0.024414062
4.528417969	-0.022949219
4.544033203	-0.023925781
4.575263672	-0.022460937
4.606494141	-0.022460937
4.622109375	-0.021484375
4.668955078	-0.020019531
4.684570312	-0.020996094
4.700185547	-0.021484375
4.731416016	-0.020019531
4.778261719	-0.020507812
4.809492188	-0.018554687
4.825107422	-0.019531250
4.840722656	-0.017578125
4.871953125	-0.018066406
4.918798828	-0.016113281
4.918798828	-0.017089844
4.950029297	-0.015136719
4.965644531	-0.016113281
4.996875000	-0.013671875
5.043720703	-0.014160156
5.059335938	-0.012207031
5.090566406	-0.012695312
5.106181641	-0.010742187
5.153027344	-0.010742187
5.168642578	-0.008789062
5.184257813	-0.009765625
5.215488281	-0.006835937
5.246718750	-0.007812500
5.277949219	-0.004882812
5.293564453	-0.005371094
5.324794922	-0.002929687
5.356025391	-0.003906250
5.371640625	-0.000976562
5.402871094	-0.001464844
5.434101562	0.000976562
5.465332031	0.000488281
5.480947266	0.002929687
5.512177734	0.002441406
5.543408203	0.005371094
5.559023437	0.004882812
5.605869141	0.007812500
5.621484375	0.007812500
5.652714844	0.010742187
5.668330078	0.010742187
5.699560547	0.014160156
5.730791016	0.014648437
5.762021484	0.017578125
5.793251953	0.018066406
5.808867187	0.021484375
5.840097656	0.021972656
5.871328125	0.025390625
5.902558594	0.025878906
5.902558594	0.029785156
5.933789062	0.030761719
5.965019531	0.034179687
5.996250000	0.035156250
6.011865234	0.038574219
6.043095703	0.039550781
6.074326172	0.042968750
6.105556641	0.043945312
6.121171875	0.047851562
6.152402344	0.047851562
6.183632812	0.051757812
6.199248047	0.052246094
6.230478516	0.055175781
6.261708984	0.055664062
6.292939453	0.058593750
6.324169922	0.058105469
6.339785156	0.061035156
6.371015625	0.060546875
6.402246094	0.063476562
6.433476563	0.062988281
6.449091797	0.065429687
6.464707031	0.064453125
6.511552734	0.066894531
6.542783203	0.065917969
6.558398438	0.067382812
6.574013672	0.065917969
6.605244141	0.067871094
6.636474609	0.066894531
6.667705078	0.068359375
6.698935547	0.067382812
6.730166016	0.068359375
6.730166016	0.067382812
6.761396484	0.068359375
6.792626953	0.067382812
6.823857422	0.068359375
6.855087891	0.065917969
6.870703125	0.067382812
6.917548828	0.065429687
6.933164062	0.066406250
6.964394531	0.064453125
6.995625000	0.064941406
7.011240234	0.062500000
7.026855469	0.063964844
7.058085937	0.060546875
7.089316406	0.061035156
7.104931641	0.059082031
7.151777344	0.059570312
7.167392578	0.058105469
7.198623047	0.058105469
7.229853516	0.056152344
7.245468750	0.056640625
7.276699219	0.054199219
7.307929687	0.054199219
7.339160156	0.052246094
7.354775391	0.052734375
7.386005859	0.050781250
7.417236328	0.051757812
7.432851562	0.050292969
7.464082031	0.049804687
7.495312500	0.047363281
7.526542969	0.047851562
7.542158203	0.045898437
7.573388672	0.046386719
7.604619141	0.044433594
7.620234375	0.044921875
7.651464844	0.042480469
7.682695312	0.043457031
7.713925781	0.041992187
7.729541016	0.041992187
7.760771484	0.040039062
7.792001953	0.041015625
7.807617187	0.039062500
7.838847656	0.040039062
7.870078125	0.039062500
7.901308594	0.040039062
7.916923828	0.037597656
7.948154297	0.038574219
7.963769531	0.037109375
7.979384766	0.038085937
8.010615234	0.037109375
8.026230469	0.038085937
8.057460938	0.037109375
8.088691406	0.037597656
8.104306641	0.037109375
8.135537109	0.037597656
8.166767578	0.036621094
8.197998047	0.037597656
8.229228516	0.036132812
8.244843750	0.038085937
8.276074219	0.037109375
8.307304688	0.038085937
8.338535156	0.037597656
8.369765625	0.038085937
8.385380859	0.037597656
8.416611328	0.038574219
8.432226563	0.039062500
8.463457031	0.039550781
8.494687500	0.040039062
8.510302734	0.041015625
8.541533203	0.040527344
8.572763672	0.041992187
8.588378906	0.041992187
8.635224609	0.043457031
8.666455078	0.042968750
8.682070313	0.044433594
8.697685547	0.044433594
8.728916016	0.045410156
8.760146484	0.045410156
8.775761719	0.047363281
8.806992188	0.045898437
8.838222656	0.047363281
8.869453125	0.047363281
8.885068359	0.049316406
8.916298828	0.049804687
8.947529297	0.050781250
8.978759766	0.051757812
8.994375000	0.053710937
9.009990234	0.054199219
9.041220703	0.056640625
9.072451172	0.057128906
9.103681641	0.059082031
9.134912109	0.060546875
9.150527344	0.062500000
9.181757812	0.063476562
9.212988281	0.065429687
9.244218750	0.066406250
9.275449219	0.068359375
9.291064453	0.069335937
9.306679687	0.070800781
9.337910156	0.072265625
9.384755859	0.074707031
9.415986328	0.075195312
9.431601562	0.076660156
9.447216797	0.078125000
9.478447266	0.079589844
9.509677734	0.081542969
9.525292969	0.083496094
9.556523437	0.085449219
9.587753906	0.087890625
9.603369141	0.089843750
9.634599609	0.091308594
9.665830078	0.092773437
9.697060547	0.094726562
9.712675781	0.097167969
9.759521484	0.099121094
9.775136719	0.100097656
9.806367187	0.101562500
9.821982422	0.102539062
9.868828125	0.104003906
9.884443359	0.105468750
9.900058594	0.107910156
9.931289062	0.109863281
9.962519531	0.111816406
9.978134766	0.114257812
10.009365234	0.116210937
10.040595703	0.119140625
10.056210937	0.122070312
10.087441406	0.124511719
10.118671875	0.127929687
10.165517578	0.130371094
10.165517578	0.133789062
10.196748047	0.136230469
10.212363281	0.139160156
10.259208984	0.142089844
10.274824219	0.145507812
10.306054687	0.147460937
10.337285156	0.150878906
10.352900391	0.153320312
10.384130859	0.157226562
10.399746094	0.162109375
10.446591797	0.166015625
10.462207031	0.170410156
10.477822266	0.174316406
10.524667969	0.177734375
10.540283203	0.181152344
10.571513672	0.184570312
10.602744141	0.187988281
10.633974609	0.192382812
10.649589844	0.195312500
10.680820312	0.200195312
10.712050781	0.204589844
10.727666016	0.208984375
10.758896484	0.212402344
10.790126953	0.216796875
10.821357422	0.221191406
10.836972656	0.225585937
10.868203125	0.230468750
10.883818359	0.234863281
10.915048828	0.237792969
10.930664062	0.241210937
10.961894531	0.243164062
10.993125000	0.244628906
11.024355469	0.246582031
11.055585938	0.249511719
11.086816406	0.250000000
11.102431641	0.251953125
11.133662109	0.251464844
11.149277344	0.252441406
11.180507813	0.251464844
11.211738281	0.251464844
11.242968750	0.249511719
11.258583984	0.249511719
11.289814453	0.247558594
11.321044922	0.247558594
11.367890625	0.245605469
11.367890625	0.245117187
11.399121094	0.242675781
11.414736328	0.241699219
11.445966797	0.239257812
11.492812500	0.237792969
11.508427734	0.234863281
11.524042969	0.234375000
11.555273438	0.230957031
11.602119141	0.229492187
11.617734375	0.227050781
11.648964844	0.225585937
11.664580078	0.222167969
11.695810547	0.220703125
11.711425781	0.217285156
11.758271484	0.216308594
11.773886719	0.212890625
11.789501953	0.211914062
11.820732422	0.209472656
11.851962891	0.207519531
11.883193359	0.203613281
11.898808594	0.201660156
11.930039063	0.197753906
11.945654297	0.195800781
11.976884766	0.192382812
11.992500000	0.190429687
12.023730469	0.186035156
12.039345703	0.185058594
12.070576172	0.181640625
12.101806641	0.180175781
12.133037109	0.176757812
12.148652344	0.175292969
12.195498047	0.171386719
12.211113281	0.169921875
12.226728516	0.166015625
12.257958984	0.165527344
12.289189453	0.161621094
12.304804687	0.160644531
12.336035156	0.156738281
12.367265625	0.155761719
12.398496094	0.152343750
12.429726562	0.151855469
12.445341797	0.147949219
12.476572266	0.147460937
12.492187500	0.143554687
12.539033203	0.143066406
12.570263672	0.140136719
12.585878906	0.139648437
12.601494141	0.137207031
12.632724609	0.136718750
12.663955078	0.133789062
12.679570312	0.133789062
12.710800781	0.130859375
12.742031250	0.131347656
12.788876953	0.128906250
12.804492187	0.129394531
12.820107422	0.127441406
12.866953125	0.127441406
12.882568359	0.125976562
12.898183594	0.126464844
12.929414062	0.125000000
12.960644531	0.125976562
12.991875000	0.124023437
13.007490234	0.125000000
13.023105469	0.123535156
13.054335937	0.124023437
13.085566406	0.121582031
13.116796875	0.123535156
13.132412109	0.122558594
13.179257812	0.124511719
13.194873047	0.123535156
13.210488281	0.125488281
13.241718750	0.125000000
13.272949219	0.126464844
13.304179687	0.125976562
13.319794922	0.127929687
13.351025391	0.127929687
13.382255859	0.129882812
13.413486328	0.132324219
13.429101562	0.133789062
13.460332031	0.132812500
13.491562500	0.134277344
13.522792969	0.133789062
13.538408203	0.134277344
13.569638672	0.131347656
13.616484375	0.136718750
13.632099609	0.139648437
13.647714844	0.143066406
13.678945312	0.142089844
13.710175781	0.144042969
13.725791016	0.142578125
13.757021484	0.145507812
13.772636719	0.145507812
13.819482422	0.148925781
13.850712891	0.149902344
13.866328125	0.152343750
13.881943359	0.154296875
13.913173828	0.160156250
13.928789062	0.159667969
13.960019531	0.163085937
13.991250000	0.164062500
14.022480469	0.168457031
14.038095703	0.168457031
14.069326172	0.171386719
14.116171875	0.172363281
14.131787109	0.176269531
14.147402344	0.176269531
14.178632813	0.179687500
14.209863281	0.180664062
14.225478516	0.184082031
14.256708984	0.185546875
14.287939453	0.189941406
14.319169922	0.191406250
14.334785156	0.194824219
14.366015625	0.196777344
14.397246094	0.200195312
14.412861328	0.201171875
14.444091797	0.204589844
14.475322266	0.206542969
14.490937500	0.209472656
14.522167969	0.211425781
14.553398438	0.215820312
14.584628906	0.217285156
14.600244141	0.221679687
14.631474609	0.222656250
14.662705078	0.226562500
14.693935547	0.229003906
