Chart Recorder Data File Wed, Nov 24, 2021 1:36 PM
CH1 (V)  	CH2 (V)  
-0.015615234	-0.031738281
0.015615234	-0.033203125
0.046845703	-0.034667969
0.062460938	-0.034667969
0.093691406	-0.035156250
0.124921875	-0.036132812
0.140537109	-0.035644531
0.187382812	-0.035644531
0.202998047	-0.036132812
0.234228516	-0.035644531
0.249843750	-0.036132812
0.296689453	-0.035156250
0.312304688	-0.035644531
0.343535156	-0.035156250
0.374765625	-0.036621094
0.390380859	-0.036132812
0.421611328	-0.037109375
0.437226562	-0.036621094
0.468457031	-0.037109375
0.515302734	-0.036621094
0.515302734	-0.036621094
0.562148437	-0.036621094
0.577763672	-0.037597656
0.624609375	-0.037109375
0.640224609	-0.037597656
0.671455078	-0.036621094
0.687070312	-0.036621094
0.718300781	-0.036132812
0.733916016	-0.036132812
0.780761719	-0.036132812
0.796376953	-0.035644531
0.827607422	-0.035644531
0.858837891	-0.036132812
0.890068359	-0.035644531
0.905683594	-0.036132812
0.936914062	-0.035644531
0.968144531	-0.036132812
0.983759766	-0.035644531
0.999375000	-0.036132812
1.046220703	-0.035156250
1.061835937	-0.035644531
1.093066406	-0.035156250
1.124296875	-0.035644531
1.155527344	-0.035156250
1.171142578	-0.035644531
1.202373047	-0.035156250
1.233603516	-0.035644531
1.249218750	-0.034667969
1.280449219	-0.035644531
1.311679688	-0.035156250
1.327294922	-0.036132812
1.374140625	-0.035644531
1.389755859	-0.036132812
1.420986328	-0.035644531
1.452216797	-0.036132812
1.467832031	-0.035156250
1.499062500	-0.035644531
1.530292969	-0.035156250
1.545908203	-0.035644531
1.592753906	-0.034667969
1.608369141	-0.035644531
1.623984375	-0.034667969
1.655214844	-0.034667969
1.686445313	-0.034667969
1.702060547	-0.035156250
1.748906250	-0.034667969
1.780136719	-0.035644531
1.811367187	-0.035156250
1.826982422	-0.036132812
1.842597656	-0.036132812
1.873828125	-0.036621094
1.905058594	-0.035156250
1.920673828	-0.035644531
1.951904297	-0.034667969
1.983134766	-0.035156250
1.998750000	-0.034667969
2.029980469	-0.035156250
2.061210937	-0.034667969
2.076826172	-0.035156250
2.123671875	-0.034667969
2.139287109	-0.034667969
2.170517578	-0.034179687
2.186132812	-0.034667969
2.217363281	-0.033691406
2.248593750	-0.034667969
2.279824219	-0.034179687
2.295439453	-0.035156250
2.326669922	-0.034667969
2.357900391	-0.035156250
2.389130859	-0.034667969
2.404746094	-0.035156250
2.435976563	-0.034667969
2.467207031	-0.035156250
2.482822266	-0.034667969
2.514052734	-0.035156250
2.560898438	-0.034667969
2.560898438	-0.035156250
2.592128906	-0.034667969
2.623359375	-0.035156250
2.638974609	-0.034667969
2.685820312	-0.035156250
2.701435547	-0.034667969
2.732666016	-0.036621094
2.748281250	-0.035644531
2.795126953	-0.036132812
2.810742187	-0.035156250
2.841972656	-0.035156250
2.873203125	-0.034667969
2.888818359	-0.035156250
2.920048828	-0.035156250
2.935664062	-0.035644531
2.966894531	-0.034667969
2.998125000	-0.034667969
3.013740234	-0.034667969
3.060585937	-0.035156250
3.076201172	-0.034179687
3.107431641	-0.035156250
3.138662109	-0.034179687
3.169892578	-0.035156250
3.185507813	-0.034667969
3.201123047	-0.035156250
3.232353516	-0.034179687
3.263583984	-0.034667969
3.294814453	-0.034179687
3.326044922	-0.035156250
3.341660156	-0.034667969
3.372890625	-0.035156250
3.404121094	-0.035156250
3.419736328	-0.036621094
3.450966797	-0.038085937
3.482197266	-0.039550781
3.513427734	-0.038574219
3.529042969	-0.038574219
3.560273437	-0.037109375
3.575888672	-0.036621094
3.607119141	-0.034667969
3.653964844	-0.034179687
3.685195312	-0.033203125
3.685195312	-0.033203125
3.716425781	-0.032226562
3.747656250	-0.032226562
3.763271484	-0.032226562
3.794501953	-0.033203125
3.825732422	-0.032714844
3.856962891	-0.033203125
3.888193359	-0.033203125
3.903808594	-0.033691406
3.919423828	-0.033203125
3.950654297	-0.033203125
3.981884766	-0.032714844
3.997500000	-0.032714844
4.028730469	-0.031738281
4.044345703	-0.032226562
4.075576172	-0.031738281
4.091191406	-0.032226562
4.138037109	-0.031738281
4.153652344	-0.032226562
4.184882812	-0.033203125
4.200498047	-0.032226562
4.231728516	-0.031738281
4.262958984	-0.032226562
4.294189453	-0.032226562
4.325419922	-0.032714844
4.341035156	-0.032714844
4.372265625	-0.033203125
4.387880859	-0.032226562
4.434726562	-0.032714844
4.450341797	-0.031738281
4.481572266	-0.031738281
4.497187500	-0.031738281
4.528417969	-0.031250000
4.559648437	-0.030761719
4.575263672	-0.030761719
4.622109375	-0.030273437
4.637724609	-0.030273437
4.668955078	-0.029785156
4.684570312	-0.029785156
4.715800781	-0.029785156
4.731416016	-0.029296875
4.778261719	-0.028808594
4.793876953	-0.029296875
4.825107422	-0.028320312
4.856337891	-0.027832031
4.871953125	-0.027832031
4.903183594	-0.027343750
4.934414063	-0.026855469
4.950029297	-0.026855469
4.981259766	-0.026367187
5.012490234	-0.027343750
5.028105469	-0.025390625
5.059335938	-0.024902344
5.090566406	-0.024414062
5.121796875	-0.024414062
5.168642578	-0.023437500
5.184257813	-0.023437500
5.199873047	-0.022949219
5.215488281	-0.022949219
5.246718750	-0.022460937
5.293564453	-0.021972656
5.309179688	-0.020996094
5.340410156	-0.020996094
5.356025391	-0.020019531
5.387255859	-0.019531250
5.402871094	-0.019042969
5.434101562	-0.018066406
5.465332031	-0.017089844
5.496562500	-0.016113281
5.527792969	-0.015625000
5.559023437	-0.014648437
5.574638672	-0.014160156
5.590253906	-0.013183594
5.621484375	-0.012207031
5.652714844	-0.010742187
5.683945312	-0.009765625
5.715175781	-0.009277344
5.730791016	-0.007812500
5.762021484	-0.006835937
5.793251953	-0.005859375
5.808867187	-0.005371094
5.855712891	-0.003906250
5.886943359	-0.003417969
5.902558594	-0.002441406
5.918173828	-0.001464844
5.949404297	0.000488281
5.980634766	0.000488281
5.996250000	0.000488281
6.027480469	0.001464844
6.043095703	0.001464844
6.074326172	0.001953125
6.105556641	0.001953125
6.136787109	0.002441406
6.168017578	0.002441406
6.183632812	0.002929687
6.214863281	0.002441406
6.230478516	0.002441406
6.261708984	0.001953125
6.292939453	0.000488281
6.324169922	0.000488281
6.355400391	0.000488281
6.371015625	0.000000000
6.402246094	0.000000000
6.433476563	-0.000488281
6.449091797	-0.000488281
6.495937500	-0.001953125
6.511552734	-0.001464844
6.542783203	-0.001953125
6.574013672	-0.002441406
6.605244141	-0.003417969
6.605244141	-0.003417969
6.636474609	-0.004394531
6.667705078	-0.004882812
6.698935547	-0.006347656
6.714550781	-0.006347656
6.745781250	-0.007812500
6.777011719	-0.007812500
6.808242188	-0.007812500
6.839472656	-0.008300781
6.855087891	-0.008789062
6.886318359	-0.008789062
6.901933594	-0.009277344
6.933164062	-0.009765625
6.964394531	-0.010742187
6.980009766	-0.009765625
7.011240234	-0.011230469
7.042470703	-0.011718750
7.073701172	-0.012207031
7.104931641	-0.011718750
7.120546875	-0.010742187
7.151777344	-0.008300781
7.167392578	-0.011718750
7.198623047	-0.013183594
7.229853516	-0.015136719
7.261083984	-0.013671875
7.276699219	-0.015625000
7.307929687	-0.015625000
7.354775391	-0.016113281
7.370390625	-0.015136719
7.401621094	-0.015136719
7.417236328	-0.014160156
7.448466797	-0.016113281
7.479697266	-0.016113281
7.495312500	-0.017089844
7.526542969	-0.016601562
7.542158203	-0.017578125
7.573388672	-0.016601562
7.604619141	-0.018066406
7.635849609	-0.017578125
7.667080078	-0.018554687
7.698310547	-0.018066406
7.713925781	-0.018554687
7.745156250	-0.017089844
7.776386719	-0.018066406
7.792001953	-0.018066406
7.823232422	-0.018554687
7.838847656	-0.018066406
7.870078125	-0.019042969
7.901308594	-0.018066406
7.916923828	-0.019042969
7.948154297	-0.018066406
7.963769531	-0.019042969
7.979384766	-0.017578125
8.010615234	-0.019042969
8.026230469	-0.017578125
8.073076172	-0.018554687
8.104306641	-0.017578125
8.119921875	-0.018554687
8.151152344	-0.018066406
8.182382813	-0.018554687
8.197998047	-0.017578125
8.229228516	-0.019042969
8.244843750	-0.017578125
8.276074219	-0.018554687
8.307304688	-0.017089844
8.338535156	-0.018066406
8.369765625	-0.016113281
8.400996094	-0.017089844
8.400996094	-0.015625000
8.432226563	-0.016113281
8.463457031	-0.015136719
8.494687500	-0.016601562
8.525917969	-0.015625000
8.541533203	-0.016601562
8.572763672	-0.015625000
8.603994141	-0.016601562
8.635224609	-0.015136719
8.666455078	-0.016601562
8.682070313	-0.015625000
8.713300781	-0.016601562
8.728916016	-0.015136719
8.775761719	-0.015136719
8.791376953	-0.014160156
8.822607422	-0.015136719
8.853837891	-0.013671875
8.869453125	-0.013671875
8.885068359	-0.012695312
8.916298828	-0.013671875
8.947529297	-0.012207031
8.963144531	-0.013671875
8.994375000	-0.012207031
9.025605469	-0.013183594
9.056835938	-0.011718750
9.088066406	-0.012695312
9.103681641	-0.011230469
9.150527344	-0.012207031
9.166142578	-0.010742187
9.197373047	-0.011230469
9.212988281	-0.009765625
9.244218750	-0.011230469
9.275449219	-0.009765625
9.306679687	-0.010253906
9.322294922	-0.008789062
9.353525391	-0.009277344
9.384755859	-0.007812500
9.400371094	-0.008789062
9.431601562	-0.006835937
9.447216797	-0.007812500
9.478447266	-0.006347656
9.509677734	-0.007324219
9.540908203	-0.006347656
9.556523437	-0.006835937
9.603369141	-0.005371094
9.618984375	-0.005859375
9.650214844	-0.004394531
9.665830078	-0.005371094
9.697060547	-0.003906250
9.728291016	-0.005371094
9.743906250	-0.002929687
9.775136719	-0.004394531
9.806367187	-0.001953125
9.837597656	-0.001953125
9.853212891	0.000000000
9.884443359	-0.000488281
9.900058594	0.001464844
9.931289062	0.000976562
9.962519531	0.003417969
9.978134766	0.003417969
10.009365234	0.005859375
10.040595703	0.005859375
10.071826172	0.008300781
10.103056641	0.006835937
10.118671875	0.010253906
10.149902344	0.008300781
10.165517578	0.009277344
10.212363281	0.008300781
10.227978516	0.010742187
10.259208984	0.011230469
10.290439453	0.013183594
10.321669922	0.013183594
10.337285156	0.015625000
10.368515625	0.015625000
10.399746094	0.018066406
10.415361328	0.018554687
10.430976562	0.020507812
10.462207031	0.021484375
10.493437500	0.023925781
10.524667969	0.024414062
10.540283203	0.027832031
10.571513672	0.028808594
10.602744141	0.031738281
10.633974609	0.032226562
10.665205078	0.034667969
10.680820312	0.034179687
10.712050781	0.036132812
10.743281250	0.036132812
10.774511719	0.039062500
10.790126953	0.039062500
10.821357422	0.041015625
10.836972656	0.040527344
10.868203125	0.042480469
10.899433594	0.041992187
10.930664062	0.042968750
10.946279297	0.042480469
10.977509766	0.042968750
11.008740234	0.041992187
11.039970703	0.042968750
11.055585938	0.041015625
11.086816406	0.041503906
11.118046875	0.039062500
11.133662109	0.038574219
11.164892578	0.036621094
11.196123047	0.037109375
11.211738281	0.034179687
11.242968750	0.034179687
11.274199219	0.031738281
11.289814453	0.032226562
11.321044922	0.029296875
11.352275391	0.029296875
11.383505859	0.026855469
11.399121094	0.027343750
11.430351563	0.024902344
11.461582031	0.025390625
11.477197266	0.022460937
11.508427734	0.022460937
11.555273438	0.020507812
11.555273438	0.020019531
11.586503906	0.018066406
11.617734375	0.018554687
11.648964844	0.016113281
11.664580078	0.016113281
11.695810547	0.013183594
11.727041016	0.013671875
11.758271484	0.010742187
11.773886719	0.010742187
11.805117188	0.008300781
11.836347656	0.008789062
11.851962891	0.006835937
11.883193359	0.006835937
11.898808594	0.004882812
