Chart Recorder Data File Wed, Nov 24, 2021 1:23 PM
CH1 (V)  	CH2 (V)  
-0.624609375	-0.033203125
-0.359150391	-0.030273437
-0.624609375	-0.031738281
-0.343535156	-0.030273437
-0.624609375	-0.031738281
-0.343535156	-0.030273437
-0.624609375	-0.032226562
-0.343535156	-0.031738281
-0.608994141	-0.033203125
-0.343535156	-0.031738281
-0.608994141	-0.035156250
-0.343535156	-0.035156250
-0.608994141	-0.038085937
-0.343535156	-0.036621094
-0.593378906	-0.039062500
-0.327919922	-0.036621094
-0.577763672	-0.037597656
-0.312304688	-0.035156250
-0.577763672	-0.036132812
-0.000000000	0.000000000
-0.000000000	0.000000000
-0.000000000	0.000000000
-0.405996094	-0.032714844
-0.374765625	-0.031738281
-0.343535156	-0.032226562
-0.327919922	-0.030761719
-0.296689453	-0.033203125
-0.265458984	-0.034179687
-0.249843750	-0.037109375
-0.218613281	-0.037597656
-0.187382812	-0.039062500
-0.171767578	-0.036132812
-0.124921875	-0.036621094
-0.109306641	-0.034667969
-0.078076172	-0.035644531
-0.062460938	-0.035644531
-0.015615234	-0.035156250
-0.015615234	-0.033203125
0.015615234	-0.033691406
0.046845703	-0.033203125
0.062460938	-0.033203125
0.093691406	-0.032226562
0.124921875	-0.034667969
0.156152344	-0.034667969
0.171767578	-0.035156250
0.202998047	-0.033691406
0.234228516	-0.034179687
0.265458984	-0.032226562
0.281074219	-0.032714844
0.312304688	-0.032226562
0.327919922	-0.033203125
0.359150391	-0.032226562
0.390380859	-0.033203125
0.421611328	-0.031738281
0.437226562	-0.033691406
0.468457031	-0.032714844
0.515302734	-0.034179687
0.530917969	-0.033203125
0.546533203	-0.033691406
0.562148437	-0.032714844
0.624609375	-0.034179687
0.624609375	-0.033691406
0.655839844	-0.034667969
0.687070312	-0.034667969
0.718300781	-0.035156250
0.749531250	-0.034179687
0.765146484	-0.035156250
0.796376953	-0.034179687
0.827607422	-0.034667969
0.843222656	-0.033691406
0.874453125	-0.034667969
0.905683594	-0.034667969
0.936914062	-0.036621094
0.936914062	-0.036132812
0.968144531	-0.037109375
0.999375000	-0.036621094
1.030605469	-0.037109375
1.061835937	-0.037109375
1.093066406	-0.038085937
1.108681641	-0.038085937
1.139912109	-0.038574219
1.171142578	-0.038574219
1.186757813	-0.037109375
1.217988281	-0.036132812
1.233603516	-0.036621094
1.280449219	-0.035156250
1.296064453	-0.035156250
1.327294922	-0.035156250
1.358525391	-0.034667969
1.374140625	-0.033691406
1.420986328	-0.034667969
1.420986328	-0.033691406
1.452216797	-0.034179687
1.483447266	-0.033691406
1.499062500	-0.034179687
1.545908203	-0.033691406
1.561523437	-0.034179687
1.592753906	-0.033691406
1.623984375	-0.033691406
1.639599609	-0.033203125
1.670830078	-0.033691406
1.686445313	-0.033203125
1.717675781	-0.033691406
1.748906250	-0.033203125
1.780136719	-0.033691406
1.811367187	-0.032714844
1.842597656	-0.032714844
1.858212891	-0.031738281
1.889443359	-0.032714844
1.920673828	-0.031738281
1.936289062	-0.032714844
1.967519531	-0.031738281
1.983134766	-0.032226562
2.014365234	-0.031738281
2.045595703	-0.032226562
2.076826172	-0.031250000
2.092441406	-0.031250000
2.123671875	-0.031250000
2.154902344	-0.030761719
2.186132812	-0.030273437
2.217363281	-0.029785156
2.217363281	-0.029296875
2.264208984	-0.029785156
2.279824219	-0.029785156
2.311054687	-0.030273437
2.326669922	-0.029785156
2.357900391	-0.028808594
2.373515625	-0.026855469
2.420361328	-0.025878906
2.435976563	-0.024414062
2.467207031	-0.023925781
2.482822266	-0.023925781
2.529667969	-0.023437500
2.545283203	-0.022949219
2.576513672	-0.022949219
2.592128906	-0.022460937
2.638974609	-0.023437500
2.670205078	-0.022460937
2.685820312	-0.021972656
2.701435547	-0.021484375
2.732666016	-0.020996094
2.748281250	-0.020507812
2.795126953	-0.020019531
2.826357422	-0.019531250
2.841972656	-0.020019531
2.857587891	-0.019531250
2.888818359	-0.020019531
2.920048828	-0.019042969
