Chart Recorder Data File Wed, Nov 24, 2021 1:44 PM
CH1 (V)  	CH2 (V)  
-0.078076172	-0.034179687
-0.078076172	-0.032714844
-0.062460938	-0.034179687
-0.031230469	-0.034179687
-0.000000000	-0.035156250
0.015615234	-0.034667969
0.046845703	-0.035644531
0.078076172	-0.035644531
0.109306641	-0.036621094
0.140537109	-0.036132812
0.156152344	-0.036621094
0.187382812	-0.036621094
0.218613281	-0.036621094
0.249843750	-0.036132812
0.265458984	-0.035644531
0.296689453	-0.035644531
0.312304688	-0.030761719
0.359150391	-0.031738281
0.374765625	-0.035644531
0.405996094	-0.035156250
0.421611328	-0.035644531
0.452841797	-0.038085937
0.499687500	-0.039550781
0.499687500	-0.039062500
0.546533203	-0.038085937
0.562148437	-0.037597656
0.593378906	-0.037109375
0.640224609	-0.036132812
0.640224609	-0.036132812
0.687070312	-0.036621094
0.718300781	-0.038085937
0.733916016	-0.037597656
0.749531250	-0.038085937
0.780761719	-0.039062500
0.811992188	-0.039550781
0.843222656	-0.040039062
0.858837891	-0.041503906
0.905683594	-0.042968750
0.921298828	-0.042968750
0.936914062	-0.041992187
0.968144531	-0.041015625
0.999375000	-0.039550781
1.030605469	-0.041992187
1.046220703	-0.039062500
1.077451172	-0.037597656
1.108681641	-0.035156250
1.139912109	-0.034667969
1.171142578	-0.033691406
1.186757813	-0.033203125
1.217988281	-0.032714844
1.233603516	-0.033203125
1.280449219	-0.032714844
1.296064453	-0.033203125
1.327294922	-0.033691406
1.358525391	-0.034667969
1.374140625	-0.035644531
1.405371094	-0.036132812
1.420986328	-0.036132812
1.452216797	-0.036621094
1.483447266	-0.036621094
1.514677734	-0.036621094
1.530292969	-0.035644531
1.561523437	-0.035644531
1.608369141	-0.035156250
1.623984375	-0.035156250
1.639599609	-0.033203125
1.670830078	-0.034179687
1.702060547	-0.034179687
1.733291016	-0.034667969
1.748906250	-0.033691406
1.780136719	-0.033203125
1.811367187	-0.033203125
1.826982422	-0.033691406
1.873828125	-0.033691406
1.889443359	-0.033691406
1.920673828	-0.032714844
1.936289062	-0.033203125
1.951904297	-0.032714844
1.998750000	-0.033691406
2.029980469	-0.033691406
2.045595703	-0.034179687
2.076826172	-0.034179687
2.108056641	-0.034667969
2.123671875	-0.034179687
2.154902344	-0.034667969
2.186132812	-0.034667969
2.217363281	-0.035156250
2.232978516	-0.034667969
2.264208984	-0.035156250
2.295439453	-0.034667969
2.311054687	-0.035156250
2.342285156	-0.034179687
2.373515625	-0.034667969
2.404746094	-0.034179687
2.420361328	-0.034667969
2.451591797	-0.034667969
2.482822266	-0.035644531
2.514052734	-0.035156250
2.529667969	-0.036621094
2.560898438	-0.035644531
2.592128906	-0.037597656
2.607744141	-0.023925781
2.654589844	-0.028320312
2.670205078	-0.029296875
2.701435547	-0.031250000
2.717050781	-0.031738281
2.748281250	-0.032714844
2.779511719	-0.032714844
2.795126953	-0.034179687
2.841972656	-0.033691406
2.857587891	-0.034667969
2.888818359	-0.034667969
2.920048828	-0.035156250
2.935664062	-0.035156250
2.966894531	-0.035156250
2.982509766	-0.034667969
3.013740234	-0.035156250
3.060585937	-0.034179687
3.060585937	-0.035156250
3.107431641	-0.034179687
3.123046875	-0.035644531
3.154277344	-0.034667969
3.185507813	-0.035156250
3.201123047	-0.034667969
3.232353516	-0.035644531
3.279199219	-0.035156250
3.279199219	-0.036132812
3.326044922	-0.035644531
3.326044922	-0.035644531
3.372890625	-0.035156250
3.388505859	-0.035644531
3.419736328	-0.034667969
3.435351562	-0.035156250
3.482197266	-0.034667969
3.497812500	-0.035644531
3.544658203	-0.034179687
3.544658203	-0.035156250
3.591503906	-0.034179687
3.607119141	-0.035156250
3.638349609	-0.034179687
3.669580078	-0.034667969
3.685195312	-0.034179687
3.716425781	-0.035156250
3.747656250	-0.033691406
3.778886719	-0.035156250
3.794501953	-0.034179687
3.825732422	-0.034667969
3.841347656	-0.033691406
3.888193359	-0.035156250
3.903808594	-0.033203125
3.919423828	-0.034667969
3.966269531	-0.033203125
3.966269531	-0.034667969
3.997500000	-0.032714844
4.013115234	-0.034179687
4.059960937	-0.032714844
4.075576172	-0.033203125
4.106806641	-0.031738281
4.122421875	-0.032714844
4.153652344	-0.031250000
4.169267578	-0.032226562
4.216113281	-0.030761719
4.231728516	-0.031738281
4.262958984	-0.030273437
4.278574219	-0.031250000
4.325419922	-0.029296875
4.341035156	-0.030761719
4.372265625	-0.028808594
4.387880859	-0.030273437
4.419111328	-0.028320312
4.434726562	-0.029785156
4.481572266	-0.027832031
4.497187500	-0.029296875
4.544033203	-0.027343750
4.559648437	-0.028320312
4.590878906	-0.026855469
4.606494141	-0.027343750
4.637724609	-0.025878906
4.668955078	-0.026855469
4.668955078	-0.024902344
4.715800781	-0.025878906
4.747031250	-0.024414062
4.778261719	-0.025390625
4.793876953	-0.023437500
4.825107422	-0.024902344
4.856337891	-0.023437500
4.871953125	-0.024414062
4.903183594	-0.022949219
4.918798828	-0.023925781
4.965644531	-0.021484375
4.981259766	-0.021484375
5.012490234	-0.019531250
5.028105469	-0.020507812
5.074951172	-0.018554687
5.090566406	-0.019531250
5.121796875	-0.018066406
5.153027344	-0.019042969
5.168642578	-0.017089844
5.199873047	-0.018066406
5.231103516	-0.016113281
5.262333984	-0.017089844
5.277949219	-0.015625000
5.309179688	-0.016601562
5.340410156	-0.014160156
5.356025391	-0.015136719
5.402871094	-0.013183594
5.418486328	-0.013671875
5.449716797	-0.011718750
5.480947266	-0.012695312
